"","x"
"1059","YDR184C"
"1060","YDR185C"
"1061","YDR186C"
"1062","YDR188W"
"1063","YDR189W"
"1064","YDR190C"
"1065","YDR191W"
"1066","YDR192C"
"1067","YDR194C"
"1068","YDR195W"
"1069","YDR196C"
"1070","YDR197W"
"1071","YDR198C"
"1072","YDR199W"
"1073","YDR200C"
"1074","YDR201W"
"1075","YDR202C"
"1076","YDR204W"
"1077","YDR205W"
"1078","YDR206W"
"1079","YDR207C"
"1080","YDR208W"
"1081","YDR209C"
"1082","YDR211W"
"1083","YDR212W"
"1084","YDR213W"
"1085","YDR214W"
"1086","YDR215C"
"1087","YDR216W"
"1088","YDR217C"
"1089","YDR218C"
"1090","YDR219C"
"1091","YDR221W"
"1092","YDR222W"
"1093","YDR223W"
"1094","YDR224C"
"1095","YDR225W"
"1096","YDR226W"
"1097","YDR227W"
"1098","YDR228C"
"1099","YDR229W"
"1100","YDR230W"
"1101","YDR231C"
"1102","YDR232W"
"1103","YDR233C"
"1104","YDR234W"
"1105","YDR235W"
"1106","YDR236C"
"1107","YDR237W"
"1108","YDR238C"
"1109","YDR239C"
"1110","YDR240C"
"1111","YDR241W"
"1112","YDR242W"
"1113","YDR243C"
"1114","YDR244W"
"1115","YDR245W"
"1116","YDR246W"
"1117","YDR246W-A"
"1118","YDR247W"
"1119","YDR248C"
"1120","YDR249C"
"1121","YDR251W"
"1122","YDR252W"
"1123","YDR253C"
"1124","YDR254W"
"1125","YDR255C"
"1126","YDR256C"
"1127","YDR257C"
"1128","YDR258C"
"1129","YDR259C"
"1130","YDR260C"
"1131","YDR261C"
"1132","YDR262W"
"1133","YDR263C"
"1134","YDR264C"
"1135","YDR265W"
"1136","YDR266C"
"1137","YDR267C"
"1138","YDR268W"
"1139","YDR270W"
"1140","YDR272W"
"1141","YDR273W"
"1142","YDR274C"
"1143","YDR275W"
"1144","YDR276C"
"1145","YDR277C"
"1146","YDR279W"
"1147","YDR280W"
"1148","YDR282C"
"1149","YDR283C"
"1150","YDR284C"
"1151","YDR285W"
"1152","YDR286C"
"1153","YDR287W"
"1154","YDR288W"
"1155","YDR289C"
"1156","YDR291W"
"1157","YDR292C"
"1158","YDR293C"
"1159","YDR294C"
"1160","YDR295C"
"1161","YDR296W"
"1162","YDR297W"
"1163","YDR298C"
"1164","YDR299W"
"1165","YDR300C"
"1166","YDR301W"
"1167","YDR302W"
"1168","YDR303C"
"1169","YDR304C"
"1170","YDR305C"
"1171","YDR306C"
"1172","YDR307W"
"1173","YDR308C"
"1174","YDR309C"
"1175","YDR310C"
"1176","YDR311W"
"1177","YDR312W"
"1178","YDR313C"
"1179","YDR314C"
"1180","YDR315C"
"1181","YDR316W"
"1182","YDR317W"
"1183","YDR318W"
"1184","YDR319C"
"1185","YDR320C"
"1186","YDR320C-A"
"1187","YDR321W"
"1188","YDR322C-A"
"1189","YDR322W"
"1190","YDR323C"
"1191","YDR324C"
"1192","YDR325W"
"1193","YDR326C"
"1194","YDR327W"
"1195","YDR328C"
"1196","YDR329C"
"1197","YDR330W"
"1198","YDR331W"
"1199","YDR332W"
"1200","YDR333C"
"1201","YDR334W"
"1202","YDR335W"
"1203","YDR336W"
"1204","YDR337W"
"1205","YDR338C"
"1206","YDR339C"
"1207","YDR341C"
"1208","YDR342C"
"1209","YDR343C"
"1210","YDR345C"
"1211","YDR346C"
"1212","YDR347W"
"1213","YDR348C"
"1214","YDR349C"
"1215","YDR350C"
"1216","YDR351W"
"1217","YDR352W"
"1218","YDR353W"
"1219","YDR354W"
"1220","YDR356W"
"1221","YDR357C"
"1222","YDR358W"
"1223","YDR359C"
"1224","YDR361C"
"1225","YDR362C"
"1226","YDR363W"
"1227","YDR363W-A"
