,x
1317,YDR437W
1318,YDR438W
1319,YDR439W
1320,YDR440W
1321,YDR441C
1322,YDR443C
1323,YDR444W
1324,YDR447C
1325,YDR448W
1326,YDR449C
1327,YDR450W
1328,YDR451C
1329,YDR452W
1330,YDR453C
1331,YDR454C
1332,YDR456W
1333,YDR457W
1334,YDR458C
1335,YDR459C
1336,YDR460W
1337,YDR461C-A
1338,YDR461W
1339,YDR462W
1340,YDR463W
1341,YDR464W
1342,YDR465C
1343,YDR466W
1344,YDR467C
1345,YDR468C
1346,YDR469W
1347,YDR470C
1348,YDR471W
1349,YDR472W
1350,YDR473C
1351,YDR475C
1352,YDR476C
1353,YDR477W
1354,YDR478W
1355,YDR479C
1356,YDR480W
1357,YDR481C
1358,YDR482C
1359,YDR483W
1360,YDR484W
1361,YDR485C
1362,YDR486C
1363,YDR487C
1364,YDR488C
1365,YDR489W
1366,YDR490C
1367,YDR491C
1368,YDR492W
1369,YDR493W
1370,YDR494W
1371,YDR495C
1372,YDR496C
1373,YDR497C
1374,YDR498C
1375,YDR499W
1376,YDR500C
1377,YDR501W
1378,YDR502C
1379,YDR503C
1380,YDR504C
1381,YDR505C
1382,YDR506C
1383,YDR507C
1384,YDR508C
1385,YDR510C-A
1386,YDR510W
1387,YDR511W
1388,YDR512C
1389,YDR513W
1390,YDR514C
1391,YDR515W
1392,YDR516C
1393,YDR517W
1394,YDR518W
1395,YDR519W
1396,YDR520C
1397,YDR522C
1398,YDR523C
1399,YDR524C
1400,YDR524C-B
1401,YDR524W-C
1402,YDR525W-A
1403,YDR527W
1404,YDR528W
1405,YDR529C
1406,YDR530C
1407,YDR531W
1408,YDR532C
1409,YDR533C
1410,YDR534C
1411,YDR535C
1412,YDR536W
1413,YDR538W
1414,YDR539W
1415,YDR540C
1416,YDR541C
1417,YEL001C
1418,YEL002C
1419,YEL003W
1420,YEL004W
1421,YEL005C
1422,YEL006W
1423,YEL007W
1424,YEL009C
1425,YEL011W
1426,YEL012W
1427,YEL013W
1428,YEL015W
1429,YEL016C
1430,YEL017C-A
1431,YEL017W
1432,YEL018W
1433,YEL019C
1434,YEL020C
1435,YEL020W-A
1436,YEL021W
1437,YEL022W
1438,YEL023C
1439,YEL024W
1440,YEL025C
1441,YEL026W
1442,YEL027W
1443,YEL028W
1444,YEL029C
1445,YEL030W
1446,YEL031W
1447,YEL032W
1448,YEL033W
1449,YEL036C
1450,YEL037C
1451,YEL038W
1452,YEL039C
1453,YEL040W
1454,YEL041W
