,x
843,YDL208W
844,YDL209C
845,YDL210W
846,YDL211C
847,YDL212W
848,YDL213C
849,YDL214C
850,YDL215C
851,YDL216C
852,YDL217C
853,YDL218W
854,YDL219W
855,YDL220C
856,YDL221W
857,YDL222C
858,YDL223C
859,YDL224C
860,YDL225W
861,YDL226C
862,YDL229W
863,YDL230W
864,YDL231C
865,YDL232W
866,YDL233W
867,YDL234C
868,YDL235C
869,YDL236W
870,YDL237W
871,YDL238C
872,YDL239C
873,YDL240W
874,YDL241W
875,YDL242W
876,YDL243C
877,YDL244W
878,YDL245C
879,YDL247W
880,YDL247W-A
881,YDL248W
882,YDR001C
883,YDR002W
884,YDR003W
885,YDR003W-A
886,YDR004W
887,YDR005C
888,YDR006C
889,YDR007W
890,YDR009W
891,YDR010C
892,YDR011W
893,YDR012W
894,YDR013W
895,YDR014W
896,YDR014W-A
897,YDR016C
898,YDR017C
899,YDR018C
900,YDR019C
901,YDR020C
902,YDR021W
903,YDR022C
904,YDR023W
905,YDR025W
906,YDR026C
907,YDR027C
908,YDR028C
909,YDR029W
910,YDR030C
911,YDR031W
912,YDR032C
913,YDR033W
914,YDR034C
915,YDR034C-A
916,YDR034C-D
917,YDR034C-D
918,YDR034W-B
919,YDR035W
920,YDR036C
921,YDR037W
922,YDR038C
923,YDR040C
924,YDR041W
925,YDR042C
926,YDR043C
927,YDR044W
928,YDR045C
929,YDR046C
930,YDR047W
931,YDR049W
932,YDR050C
933,YDR051C
934,YDR052C
935,YDR054C
936,YDR055W
937,YDR056C
938,YDR057W
939,YDR058C
940,YDR059C
941,YDR060W
942,YDR061W
943,YDR062W
944,YDR063W
945,YDR064W
946,YDR065W
947,YDR066C
948,YDR067C
949,YDR068W
950,YDR069C
951,YDR070C
952,YDR071C
953,YDR072C
954,YDR073W
955,YDR074W
956,YDR075W
957,YDR076W
958,YDR077W
959,YDR078C
960,YDR079C-A
961,YDR079W
962,YDR080W
963,YDR081C
964,YDR082W
965,YDR083W
