"","s1FC"
"YDL010W",0.545731556625628
"YDL011C",1.42741055808703
"YDL012C",0.0527047074016401
"YDL013W",0.154332788041759
"YDL014W",-1.08945726785817
"YDL015C",-0.775577479922224
"YDL016C",-1.03285169411277
"YDL017W",0.643529571997957
"YDL018C",-0.791747256877108
"YDL019C",0.390397218359764
"YDL020C",0.0916323554019527
"YDL021W",-1.86847476922401
"YDL022W",-0.339037542337002
"YDL023C",2.57189833716976
"YDL024C",0.483462431619297
"YDL025C",0.949742900776691
"YDL026W",2.42751922465521
"YDL027C",-0.647771551775533
"YDL028C",0.487548905423759
"YDL029W",-0.0410224720799513
"YDL030W",0.587631569340943
"YDL031W",-0.434748488085115
"YDL033C",0.547846041152175
"YDL034W",1.85941301533003
"YDL035C",1.42540146244051
"YDL036C",-0.00155089943449881
"YDL037C",0.962057934491427
"YDL039C",0.75622264345062
"YDL040C",0.351121187576261
"YDL042C",-1.35382205943407
"YDL043C",-1.27547249255061
"YDL044C",1.27967505371232
"YDL045C",-0.0713052707040707
"YDL045W-A",1.13455406822336
"YDL046W",-1.34531351856579
"YDL047W",0.901494394948088
"YDL048C",1.07631724127603
"YDL049C",-0.242614517388475
"YDL050C",-1.46739563120885
"YDL051W",-1.64589902525273
"YDL052C",1.50289755654061
"YDL053C",0.0373281961096853
"YDL054C",0.0598957381197405
"YDL055C",-2.47100593109
"YDL056W",-0.00116710379871932
"YDL057W",-1.22029453044676
"YDL058W",0.395389217154538
"YDL059C",2.92307273675485
"YDL060W",-0.690152228181047
"YDL061C",-0.773074708965822
"YDL062W",-1.01512216865442
"YDL063C",-0.493437521168104
"YDL064W",0.301666915436305
"YDL065C",0.174672316396267
"YDL066W",-0.0774112900891762
"YDL067C",-0.252308927045607
"YDL068W",2.26213235858353
"YDL069C",1.041489971058
"YDL070W",1.39966132724976
"YDL071C",0.0174862919244301
"YDL072C",-0.0176693244677855
"YDL073W",0.120856408480929
"YDL074C",0.79061438604127
"YDL075W",-1.1073398073581
"YDL076C",1.18779970137857
"YDL077C",-0.0358143482137449
"YDL078C",-1.28372634262393
"YDL079C",1.34788338797838
"YDL080C",0.639964368749479
"YDL081C",-0.669916143950995
"YDL082W",-1.0923155695234
"YDL083C",-1.48972708978703
"YDL084W",-0.470976419622293
"YDL085C-A",0.225990261649348
"YDL085W",-4.04689194237957
"YDL086W",-0.242485625205846
"YDL087C",0.276637265516516
"YDL088C",0.51186163476854
"YDL089W",0.628495339012595
"YDL090C",-0.0232090393685044
"YDL091C",0.604263213404783
"YDL092W",0.315069836582211
"YDL093W",-0.659510566078431
"YDL094C",0.502427948474122
"YDL095W",-0.161887205454739
"YDL097C",0.00543143662051433
"YDL098C",-0.772142817637894
"YDL099W",-0.0743195883389411
"YDL100C",-0.419931670452097
"YDL101C",-1.66081261463367
"YDL102W",-0.411824765174992
"YDL103C",-0.914033654535476
"YDL104C",-0.0949136287840571
"YDL105W",-0.0236326114002208
"YDL106C",-0.105876451104174
"YDL107W",0.603960298276213
"YDL108W",0.0778846829438915
"YDL109C",0.276416089323155
"YDL110C",0.113022868719718
"YDL111C",-0.202862596009788
"YDL112W",-0.937798259032817
"YDL113C",0.75283981919187
"YDL114W",0.618106677066097
"YDL115C",-0.475459637750127
"YDL116W",-0.627492173128066
"YDL117W",-1.18272045853093
"YDL118W",-3.02258659865422
"YDL119C",0.175668843337074
"YDL120W",0.416162516522456
"YDL121C",-1.04356160167476
"YDL122W",0.491913515899451
"YDL123W",0.00229790585453017
"YDL124W",-0.982810978460621
"YDL125C",-0.886083457066472
"YDL126C",-0.130202689014122
"YDL127W",-1.53334083705773
"YDL128W",-0.539189258294983
"YDL129W",2.66048170945347
"YDL130W",-0.628789639526956
"YDL130W-A",-0.783360833024227
"YDL131W",-0.761201695759244
"YDL132W",0.141779446036049
