"","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL249C","YPL249C",204.271568250295,-0.404276454696156,0.238839704843491,-1.69266854085703,0.0905185765793105,0.382174556556165
"YPL250C","YPL250C",3878.35079516117,0.54932346687948,0.357819577703677,1.5351967894121,0.124735496742702,0.446269588285931
"YPL252C","YPL252C",56.7478063265933,0.0722116446870038,0.376727067437991,0.191681593728037,0.847991624708508,0.947855927045457
"YPL253C","YPL253C",58.9229234954213,0.540960506845019,0.275203470703455,1.96567472591191,0.049336196119769,0.285535124836171
"YPL254W","YPL254W",107.680712943481,0.301401823406779,0.191823077906467,1.57124902121393,0.116124817463413,0.432825458224043
"YPL255W","YPL255W",35.5678733076237,0.366671970591826,0.312280458320418,1.17417520316177,0.240324856106252,0.590034507303936
"YPL256C","YPL256C",68.5143013211973,-0.00126703182577939,0.280141776035599,-0.0045228235635173,0.996391321210587,0.998506053409831
"YPL257W","YPL257W",156.481189453189,0.362626010751011,0.22047249710942,1.6447675583365,0.100017754740163,0.400778358103085
"YPL258C","YPL258C",450.608978601333,0.271849774612539,0.214358235883768,1.268203078327,0.204725438014602,0.548887506140415
"YPL259C","YPL259C",189.867305710738,-0.00895909574105511,0.179938348692428,-0.0497898074877248,0.960289889056814,0.9833073784236
"YPL260W","YPL260W",1112.99187197009,-0.345791064207441,0.135919505734495,-2.54408712229214,0.0109563753427211,0.136614951278643
"YPL262W","YPL262W",7334.37440254188,-0.18320985832184,0.281660910757649,-0.650462493460728,0.515393521313698,0.799622040460956
"YPL263C","YPL263C",336.073186447922,0.26671688585782,0.206592734727264,1.29102742267259,0.196694168686351,0.53839089844293
"YPL264C","YPL264C",125.481247190715,0.343883304313854,0.217416809531775,1.58167763134063,0.113723181705577,0.428998367206258
"YPL265W","YPL265W",1316.0455538109,-0.635595313743002,0.534407998513315,-1.18934468703908,0.234304057341289,0.582521627422441
"YPL266W","YPL266W",357.352512266955,0.265145668093959,0.269475197055161,0.983933478819146,0.325148221362342,0.666048381142094
"YPL267W","YPL267W",50.2256062280976,0.700946711241962,0.330900132817067,2.11830290086184,0.0341494231253836,0.235676773968847
"YPL268W","YPL268W",627.168594590832,-0.151712120274151,0.252639932495704,-0.600507286300554,0.548168206408405,0.817487977050057
"YPL269W","YPL269W",137.581288527849,-0.235958602676621,0.172610250512422,-1.36700226073561,0.171624596898111,0.509459381408962
"YPL270W","YPL270W",656.548051506816,-0.180674796857173,0.129060547639575,-1.39992275069017,0.161536452405218,0.497432116237141
"YPL271W","YPL271W",12182.175869643,-0.359980235617216,0.357774784690977,-1.00616435540069,0.314336515432468,0.656480168241934
