"","Holly_59A","Holly_59B","Holly_59C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YNL323W",501.698863901529,387.873752958673,441.577404518415,403.033721309082,428.502245501391,390.155715138519
"YNL325C",275.566252289729,273.578665879942,214.165041191431,292.512591151198,268.338001096762,219.608606125873
"YNL326C",362.863958167772,294.249053968648,221.892645770503,420.717102134343,301.04169498043,315.395338585031
"YNL327W",834.06121399143,513.111986672602,511.125845730065,681.546969306948,541.707339714088,674.011519865047
"YNL328C",34.7087264334391,27.9658191788385,34.2222488501771,40.5244143912239,38.5735876576595,30.3714029748548
"YNL329C",854.04502618038,821.951902821514,864.387769344797,674.915701497475,765.601859379198,873.761900968899
"YNL330C",996.035270680813,925.303843265047,1107.25534182992,915.114957707275,996.204829071728,970.716764311705
"YNL331C",228.236170789584,251.692372609546,194.294057988102,277.77644046348,244.019869747368,205.591035522094
"YNL333W",42.0711835556837,51.0680176309224,44.1577404518415,31.6827239785933,38.5735876576595,39.7164500440409
"YNL336W",80.9870283446912,127.670044077306,141.304769445893,92.1009417982362,63.7302752604809,58.4065441824131
"YNR001C",50987.119130722,58041.2338479067,60568.9646907683,46701.8087595152,48447.5875417669,45296.6112752286
"YNR002C",9571.19425891805,7812.19079234944,3435.47220715327,6298.23080393059,8492.89773471251,8218.96889734917
"YNR003C",355.501501045528,325.862588692553,308.000239651594,399.349683637152,373.996089028612,339.926087141644
"YNR004W",161.974056689382,128.885949258995,160.071809137925,191.569958940331,178.612481980032,191.573464918315
"YNR006W",1083.33297655886,989.746817894544,1050.95422275383,1055.84519677498,1184.04142983946,1088.69798356018
"YNR007C",672.087157302048,682.122806927321,641.391180062997,872.380120712893,720.31982169412,665.834603679509
"YNR008W",172.491852578303,301.54448505878,357.677697659916,237.252026072257,363.933413987483,338.757956257996
"YNR009W",214.563036133987,160.499483982899,110.394351129604,195.253996612261,194.545050795152,212.599820823984
"YNR010W",236.650407500721,176.306251344851,193.190114476806,183.465076062087,177.773925726605,184.564679616425
"YNR011C",241.909305445182,245.612846701103,249.491233552904,237.988833606642,254.921101041924,234.794307613301
"YNR012W",317.637435845412,290.601338423582,417.290647269902,297.670243891899,290.140463685874,283.855804726527
"YNR013C",334.465909267686,389.089658140361,405.147268645645,257.882637035061,425.148020487682,392.491976905816
"YNR014W",21.0355917778419,30.3976295422157,122.53772975386,25.7882637035061,83.8556253427381,58.4065441824131
"YNR015W",358.656839812204,396.385089230493,429.434025894158,341.141888420667,512.35787084413,436.88095048445
"YNR016C",6078.23424420741,3237.95549883682,5673.16570455033,4018.54829254064,3999.91332884861,3499.72012741019
"YNR017W",409.142260079024,543.509616214817,1447.2699433091,440.610905562762,598.72916494715,574.720394754945
"YNR018W",1463.0254081489,2108.37958504808,2214.51068365985,1139.10444816059,1553.84473760094,1647.06454594405
"YNR019W",791.990030435747,821.951902821514,1081.86464107012,551.132035720646,901.447972434434,876.098162736196
