"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"YDL065C",168.164482412971,40.1216985362204,158.982308772395,33.3479092406836,145.029856471661,51.006854218356,129.255224786479,58.1474747992045,71.0792589628819,43.9085113893166,83.6574804711749,57.0904657031863,142.982082715926,62.5957891900775,199.340995566682,69.7003998014933,54.5221877723361,135.295988096419,130.920358200824,109.46791441578,110.511966164251,96.7209450281136,61.7933348995031,152.842738716655,58.8640241786587,74.9063413264327,47.0334270880343
"YDL066W",156.133349459273,93.8147635571758,213.396213516329,108.325493261956,169.830501072763,152.777286720799,368.963484022268,142.768054524194,181.646995127365,212.509591918857,180.52403680622,179.148116991345,314.434049158474,149.524589389256,524.952952461118,194.231780780161,160.528670156673,355.113444838493,397.442881950356,377.710582484578,625.913439799556,193.561298630336,156.822128808699,346.098441621612,185.980511835357,177.413369374429,251.476265638483
"YDL067C",465.50533969723,78.0892119161337,400.916538866755,76.9099959805831,324.564957605724,120.178311528782,553.209215276032,130.898501182154,107.894670015452,86.1063015556729,97.3785360196907,88.7233727484396,388.218497816637,100.682241204322,983.056572454602,129.964437783707,82.8225608975663,919.180602500156,1284.09206986959,1053.19745176197,643.406935948833,270.758941791664,396.425169410059,1014.86488720061,86.2097164236812,165.192169781299,90.5945877467506
"YDL068W",0.180919292536817,0,0.106485136485194,0.22084708106413,0.179714815950013,0.162183956179193,0.157340504913547,0.0666828839440419,0,0.0950400679422438,0.0511979684646113,0.189041277162869,0.0790830103517288,0.176326166732613,0.0928462950939368,0,0.0799445568509327,0.0770478292120835,0.510742619769144,0.504848183316434,0.245154100190068,0.53733858348952,0.0615471463142461,0.363262599445407,0.372557115054802,0.0686584246805066,0.105220194827817
"YDL069C",20.8057186417339,4.7392073438757,20.2321759321869,5.52117702660324,12.759751932451,9.64994539266196,16.7567637732928,9.80238393977415,11.2997796299966,9.88416706599335,10.9563652514268,10.2082289667949,13.0486967080353,9.52161300356108,10.9558628210845,9.79379976697905,10.1529587200685,16.7193789390221,11.7470802546903,11.0225186690755,16.9156329131147,18.2098075515893,4.30830024199722,11.9876657816984,9.23941645335909,12.6331501412132,12.2055426000268
"YDL070W",465.595799343498,136.306065765334,552.977313767612,87.8971382635236,368.235657881577,214.001730178445,417.031008273357,213.518594388822,268.521644970887,229.331683944634,163.116727528252,236.868720285074,349.863237796048,166.275575228854,579.175188795978,235.909045481977,305.548096284265,448.18722252669,315.894310327216,427.438128541247,394.540502241602,269.62456033763,239.849229186617,428.014157796551,203.639719088955,199.864674244955,227.696501607396
"YDL071C",1.99011221790499,0.646255546892141,2.23618786618907,0.772964783724453,1.88700556747514,1.54074758370233,1.57340504913547,1.2669747949368,0.972024054193257,0.76032054353795,1.02395936929223,1.70137149446582,1.81890923808976,0.881630833663063,3.5281592135696,1.64421455941984,1.35905746646586,2.00324355951417,1.78759916919201,2.69252364435431,2.04878783730271,1.91053718574051,1.66177295048464,2.27039124653379,0.819625653120564,1.85377746637368,1.05220194827817
"YDL072C",389.33831753923,159.14042842219,250.027100467235,132.176978016882,194.990575305765,178.645627731381,231.998574495025,201.248943743118,343.002988123446,287.021005185576,250.102075949626,295.156447410292,233.848461610062,231.163604586455,200.919382583279,217.322272201579,283.323509479706,345.559514016194,270.608464707685,342.707775107972,279.370608173739,298.939365281336,160.268769002297,320.670059660433,264.515551688909,308.550960514197,303.349821688597
"YDL073W",29.2184657446959,19.4953756645796,37.8022234522439,19.8210255255056,27.5862242483271,29.6796639807922,42.5606065791145,29.6072004711546,36.2078960186988,39.9168285357424,53.0922932978019,50.4110072434316,45.2354819211889,35.4415595132551,33.3318199387233,33.5991670837968,47.9667341105596,37.2911493386484,29.8784432564949,27.4300846268596,29.6111131015289,51.2262782926676,15.2021451396188,26.4273541096534,39.2675199267761,39.5472526159718,43.6663808535441
"YDL074C",66.216461068475,25.5270941022396,51.0063803764079,25.7286849439711,40.345976180778,38.6808735487374,67.8924278701956,45.0776295461723,42.4045493641808,55.7885198820971,56.7273490587894,57.8466308118378,69.6721321198731,43.2880739328564,74.5555749604312,43.9648675670957,58.27958194433,61.7153111988789,55.5006980149137,48.0447187789473,59.712534403438,61.674528527186,31.512138912894,48.7680039755459,42.9930910773242,42.7055401512751,65.9730621570414
"YDL075W",179.291018903986,133.128642659781,257.90700056714,128.146518787461,206.40246611859,136.153431212432,176.77205727037,142.834737408138,224.537556518642,899.364162937453,162.195164095889,1046.02840030121,186.398655399025,188.668998403896,82.168971158134,232.048715646818,977.721930286907,137.068088168296,151.264939221628,129.914265840096,288.196155780581,340.135323348866,21.4184069173576,112.157327578769,144.552160641263,143.152815458856,1072.82510646442
